domainc,domain,areac,area,elemc,elem,itemc,item,yearc,year,unit,value,Flag,Flagd
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1961,1961,ha,67860,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1961,1961,hg/ha,8089,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1961,1961,tonnes,54894,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1962,1962,ha,126088,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1962,1962,hg/ha,5264,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1962,1962,tonnes,66371,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1963,1963,ha,99446,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1963,1963,hg/ha,7452,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1963,1963,tonnes,74112,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1964,1964,ha,82338,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1964,1964,hg/ha,6484,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1964,1964,tonnes,53389,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1965,1965,ha,79405,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1965,1965,hg/ha,5963,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1965,1965,tonnes,47347,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1966,1966,ha,90815,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1966,1966,hg/ha,6165,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1966,1966,tonnes,55984,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1967,1967,ha,94752,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1967,1967,hg/ha,7185,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1967,1967,tonnes,68075,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1968,1968,ha,82140,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1968,1968,hg/ha,7531,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1968,1968,tonnes,61861,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1969,1969,ha,68932,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1969,1969,hg/ha,6907,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1969,1969,tonnes,47608,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1970,1970,ha,67164,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1970,1970,hg/ha,7068,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1970,1970,tonnes,47471,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1971,1971,ha,77216,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1971,1971,hg/ha,7439,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1971,1971,tonnes,57442,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1972,1972,ha,79513,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1972,1972,hg/ha,7023,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1972,1972,tonnes,55845,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1973,1973,ha,80493,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1973,1973,hg/ha,7687,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1973,1973,tonnes,61877,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1974,1974,ha,79252,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1974,1974,hg/ha,8205,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1974,1974,tonnes,65027,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1975,1975,ha,76972,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1975,1975,hg/ha,7973,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1975,1975,tonnes,61369,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1976,1976,ha,75685,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1976,1976,hg/ha,7706,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1976,1976,tonnes,58321,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1977,1977,ha,79117,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1977,1977,hg/ha,9516,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1977,1977,tonnes,75289,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1978,1978,ha,83252,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1978,1978,hg/ha,9248,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1978,1978,tonnes,76988,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1979,1979,ha,100096,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1979,1979,hg/ha,12637,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1979,1979,tonnes,126496,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1980,1980,ha,144483,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1980,1980,hg/ha,11513,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1980,1980,tonnes,166347,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1981,1981,ha,140568,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1981,1981,hg/ha,14660,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1981,1981,tonnes,206066,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1982,1982,ha,135908,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1982,1982,hg/ha,17600,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1982,1982,tonnes,239199,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1983,1983,ha,180800,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1983,1983,hg/ha,17121,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1983,1983,tonnes,309556,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1984,1984,ha,186172,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1984,1984,hg/ha,16292,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1984,1984,tonnes,303307,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1985,1985,ha,170869,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1985,1985,hg/ha,17487,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1985,1985,tonnes,298798,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1986,1986,ha,159127,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1986,1986,hg/ha,17947,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1986,1986,tonnes,285581,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1987,1987,ha,134781,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1987,1987,hg/ha,16596,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1987,1987,tonnes,223687,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1988,1988,ha,120866,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1988,1988,hg/ha,15967,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1988,1988,tonnes,192990,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1989,1989,ha,122647,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1989,1989,hg/ha,15796,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1989,1989,tonnes,193730,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1990,1990,ha,125103,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1990,1990,hg/ha,14950,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1990,1990,tonnes,187024,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1991,1991,ha,124239,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1991,1991,hg/ha,15140,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1991,1991,tonnes,188100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1992,1992,ha,137189,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1992,1992,hg/ha,14943,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1992,1992,tonnes,205000,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1993,1993,ha,133546,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1993,1993,hg/ha,15081,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1993,1993,tonnes,201400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1994,1994,ha,166326,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1994,1994,hg/ha,16828,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1994,1994,tonnes,279900,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1995,1995,ha,161470,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1995,1995,hg/ha,16746,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1995,1995,tonnes,270400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1996,1996,ha,165112,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1996,1996,hg/ha,17043,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1996,1996,tonnes,281400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1997,1997,ha,160660,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1997,1997,hg/ha,18885,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1997,1997,tonnes,303400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1998,1998,ha,183323,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1998,1998,hg/ha,16250,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1998,1998,tonnes,297900,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,1999,1999,ha,203557,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,1999,1999,hg/ha,16880,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,1999,1999,tonnes,343600,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2000,2000,ha,210437,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2000,2000,hg/ha,17055,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2000,2000,tonnes,358900,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2001,2001,ha,250501,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2001,2001,hg/ha,20918,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2001,2001,tonnes,524000,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2002,2002,ha,268307,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2002,2002,hg/ha,22116,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2002,2002,tonnes,593400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2003,2003,ha,284494,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2003,2003,hg/ha,24356,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2003,2003,tonnes,692900,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2004,2004,ha,292588,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2004,2004,hg/ha,26354,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2004,2004,tonnes,771100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2005,2005,ha,319297,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2005,2005,hg/ha,28297,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2005,2005,tonnes,903500,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2006,2006,ha,326986,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2006,2006,hg/ha,31066,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2006,2006,tonnes,1015800,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2007,2007,ha,345197,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2007,2007,hg/ha,32680,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2007,2007,tonnes,1128100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2008,2008,ha,354910,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2008,2008,hg/ha,33380,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2008,2008,tonnes,1184700,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2009,2009,ha,363003,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2009,2009,hg/ha,33766,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2009,2009,tonnes,1225700,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2010,2010,ha,388903,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2010,2010,hg/ha,34826,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2010,2010,tonnes,1354400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2011,2011,ha,411566,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2011,2011,hg/ha,35511,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2011,2011,tonnes,1461500,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2012,2012,ha,418850,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2012,2012,hg/ha,35851,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2012,2012,tonnes,1501600,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2013,2013,ha,439894,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2013,2013,hg/ha,36386,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2013,2013,tonnes,1600600,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2014,2014,ha,458105,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2014,2014,hg/ha,36965,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2014,2014,tonnes,1693400,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2015,2015,ha,469840,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2015,2015,hg/ha,37215,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2015,2015,tonnes,1748500,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2016,2016,ha,488098,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2016,2016,hg/ha,37505,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2016,2016,tonnes,1830631,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2017,2017,ha,500605,,Official data
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2017,2017,hg/ha,38140,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2017,2017,tonnes,1909334,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,56,Maize,2018,2018,ha,516272,Im,FAO data based on imputation methodology
QC,Crops,28,Myanmar,5419,Yield,56,Maize,2018,2018,hg/ha,38412,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,56,Maize,2018,2018,tonnes,1983122,Im,FAO data based on imputation methodology
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1961,1961,ha,4253700,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1961,1961,hg/ha,16066,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1961,1961,tonnes,6834100,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1962,1962,ha,4654000,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1962,1962,hg/ha,16469,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1962,1962,tonnes,7664700,,Official data
QC,Crops,28,Myanmar,5312,Area harvested,27,"Rice, paddy",1963,1963,ha,4877500,,Official data
QC,Crops,28,Myanmar,5419,Yield,27,"Rice, paddy",1963,1963,hg/ha,15957,Fc,Calculated data
QC,Crops,28,Myanmar,5510,Production,27,"Rice, paddy",1963,1963,tonnes,7782900,,Official data
